old parser:अ	(set! wordstruct '( (( "a" ) 0) ))	
new parser:डरहम	(set! wordstruct '( (( "dx" "a" ) 0) (( "r" "a" ) 0) (( "h" "a" "m" ) 0) ))
old parser:डालकर	(set! wordstruct '( (( "dx" "aa" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:डालकर	(set! wordstruct '( (( "dx" "aa" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:डिसकनेक्ट	(set! wordstruct '( (( "dx" "i" "s" ) 0) (( "k" "a" ) 0) (( "n" "ee" "k" "tx" ) 0) ))
new parser:डिसकनेक्ट	(set! wordstruct '( (( "dx" "i" ) 0) (( "s" "a" "k" ) 0) (( "n" "ee" ) 0) (( "k" "tx" "a" ) 0) ))
old parser:डॉक्टॅरेट	(set! wordstruct '( (( "dx" "ax" "k" ) 0) (( "tx" "ae" ) 0) (( "r" "ee" "tx" ) 0) ))
new parser:डॉक्टॅरेट	(set! wordstruct '( (( "dx" "ax" "k" ) 0) (( "tx" "a" ) 0) (( "e" ) 0) (( "r" "ee" "tx" ) 0) ))
old parser:तकरार	(set! wordstruct '( (( "t" "a" "k" ) 0) (( "r" "aa" "r" ) 0) ))
new parser:तकरार	(set! wordstruct '( (( "t" "a" ) 0) (( "k" "a" ) 0) (( "r" "aa" "r" ) 0) ))
old parser:तकलीफ़	(set! wordstruct '( (( "t" "a" "k" ) 0) (( "l" "ii" "f" ) 0) ))
new parser:तकलीफ़	(set! wordstruct '( (( "t" "a" "k" ) 0) (( "l" "ii" ) 0) (( "f" "a" ) 0) ))
old parser:तकलीफ़	(set! wordstruct '( (( "t" "a" "k" ) 0) (( "l" "ii" "f" ) 0) ))
new parser:तकलीफ़	(set! wordstruct '( (( "t" "a" "k" ) 0) (( "l" "ii" ) 0) (( "f" "a" ) 0) ))
old parser:तलवार	(set! wordstruct '( (( "t" "a" "l" ) 0) (( "w" "aa" "r" ) 0) ))
new parser:तलवार	(set! wordstruct '( (( "t" "a" "l" ) 0) (( "w" "aa" ) 0) (( "r" "a" ) 0) ))
old parser:तलाशकर	(set! wordstruct '( (( "t" "a" ) 0) (( "l" "aa" "sh" ) 0) (( "k" "a" "r" ) 0) ))
new parser:तलाशकर	(set! wordstruct '( (( "t" "a" ) 0) (( "l" "aa" ) 0) (( "sh" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:तेंंदुलकर	(set! wordstruct '( (( "t" "ee" "q" "q" ) 0) (( "d" "u" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:तेंंदुलकर	(set! wordstruct '( (( "t" "ee" "q" "q" ) 0) (( "d" "u" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:तेंदुलकर	(set! wordstruct '( (( "t" "ee" "q" ) 0) (( "d" "u" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:तेंदुलकर	(set! wordstruct '( (( "t" "ee" "q" ) 0) (( "d" "u" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:त्रस्त	(set! wordstruct '( (( "t" "r" "a" "s" "t" ) 0) ))
new parser:त्रस्त	(set! wordstruct '( (( "t" "a" ) 0) (( "r" "a" "s" "t" ) 0) ))
old parser:दंडकारण्य	(set! wordstruct '( (( "d" "a" "q" ) 0) (( "dx" "a" ) 0) (( "k" "aa" ) 0) (( "r" "a" "nx" "y" ) 0) ))
new parser:दंडकारण्य	(set! wordstruct '( (( "d" "a" "q" ) 0) (( "dx" "a" ) 0) (( "k" "aa" "r" ) 0) (( "nx" "y" "a" ) 0) ))
old parser:दण्डकारण्य	(set! wordstruct '( (( "d" "a" "nx" ) 0) (( "dx" "a" ) 0) (( "k" "aa" ) 0) (( "r" "a" "nx" "y" ) 0) ))
new parser:दण्डकारण्य	(set! wordstruct '( (( "d" "a" "nx" ) 0) (( "dx" "a" ) 0) (( "k" "aa" "r" ) 0) (( "nx" "y" "a" ) 0) ))
old parser:दरअसल	(set! wordstruct '( (( "d" "a" ) 0) (( "r" "a" ) 0) (( "a" ) 0) (( "s" "a" "l" ) 0) ))
new parser:दरअसल	(set! wordstruct '( (( "d" "a" "r" ) 0) (( "a" ) 0) (( "s" "a" "l" ) 0) ))
old parser:दर्शक	(set! wordstruct '( (( "d" "a" "r" ) 0) (( "sh" "a" "k" ) 0) ))
new parser:दर्शक	(set! wordstruct '( (( "d" "a" "r" "sh" ) 0) (( "k" "a" ) 0) ))
old parser:दर्शकों	(set! wordstruct '( (( "d" "a" "r" ) 0) (( "sh" "a" ) 0) (( "k" "o" "q" ) 0) ))
new parser:दर्शकों	(set! wordstruct '( (( "d" "a" "r" "sh" ) 0) (( "k" "o" "q" ) 0) ))
old parser:दर्शन	(set! wordstruct '( (( "d" "a" "r" ) 0) (( "sh" "a" "n" ) 0) ))
new parser:दर्शन	(set! wordstruct '( (( "d" "a" "r" "sh" ) 0) (( "n" "a" ) 0) ))
old parser:दर्शनीय	(set! wordstruct '( (( "d" "a" "r" ) 0) (( "sh" "a" ) 0) (( "n" "ii" "y" ) 0) ))
new parser:दर्शनीय	(set! wordstruct '( (( "d" "a" "r" "sh" ) 0) (( "n" "ii" "y" ) 0) ))
old parser:दुपहर	(set! wordstruct '( (( "d" "u" "p" ) 0) (( "h" "a" "r" ) 0) ))
new parser:दुपहर	(set! wordstruct '( (( "d" "u" ) 0) (( "p" "a" ) 0) (( "h" "a" "r" ) 0) ))
old parser:दुर्व्यवहार	(set! wordstruct '( (( "d" "u" "r" "w" ) 0) (( "y" "a" ) 0) (( "w" "a" ) 0) (( "h" "aa" "r" ) 0) ))
new parser:दुर्व्यवहार	(set! wordstruct '( (( "d" "u" "r" "w" "y" ) 0) (( "w" "a" ) 0) (( "h" "aa" "r" ) 0) ))
old parser:दोपहर	(set! wordstruct '( (( "d" "o" "p" ) 0) (( "h" "a" "r" ) 0) ))
new parser:दोपहर	(set! wordstruct '( (( "d" "o" ) 0) (( "p" "a" ) 0) (( "h" "a" "r" ) 0) ))
old parser:धूसरित	(set! wordstruct '( (( "dh" "uu" "s" ) 0) (( "r" "i" "t" ) 0) ))
new parser:धूसरित	(set! wordstruct '( (( "dh" "uu" ) 0) (( "s" "a" ) 0) (( "r" "i" "t" ) 0) ))
old parser:नंदीश्वर	(set! wordstruct '( (( "n" "a" "q" ) 0) (( "d" "ii" "sh" ) 0) (( "w" "a" "r" ) 0) ))
new parser:नंदीश्वर	(set! wordstruct '( (( "n" "a" "q" ) 0) (( "d" "ii" ) 0) (( "sh" "w" "a" "r" ) 0) ))
old parser:नक्षत्र	(set! wordstruct '( (( "n" "a" "k" ) 0) (( "sx" "a" "t" "r" ) 0) ))
new parser:नक्षत्र	(set! wordstruct '( (( "n" "a" "k" "sx" ) 0) (( "t" "r" "a" ) 0) ))
old parser:नक्षत्रमण्डल	(set! wordstruct '( (( "n" "a" "k" ) 0) (( "sx" "a" "t" ) 0) (( "r" "a" ) 0) (( "m" "a" "nx" ) 0) (( "dx" "a" "l" ) 0) ))
new parser:नक्षत्रमण्डल	(set! wordstruct '( (( "n" "a" "k" "sx" ) 0) (( "t" "r" "a" ) 0) (( "m" "a" "nx" ) 0) (( "dx" "a" "l" ) 0) ))
old parser:नगरपालक	(set! wordstruct '( (( "n" "a" "g" ) 0) (( "r" "a" ) 0) (( "p" "aa" ) 0) (( "l" "a" "k" ) 0) ))
new parser:नगरपालक	(set! wordstruct '( (( "n" "a" ) 0) (( "g" "a" "r" ) 0) (( "p" "aa" ) 0) (( "l" "a" "k" ) 0) ))
old parser:नगरीय	(set! wordstruct '( (( "n" "a" "g" ) 0) (( "r" "ii" "y" ) 0) ))
new parser:नगरीय	(set! wordstruct '( (( "n" "a" "g" ) 0) (( "r" "ii" ) 0) (( "y" "a" ) 0) ))
old parser:नटवरलाल	(set! wordstruct '( (( "n" "a" ) 0) (( "tx" "a" "w" ) 0) (( "r" "a" ) 0) (( "l" "aa" "l" ) 0) ))
new parser:नटवरलाल	(set! wordstruct '( (( "n" "a" "tx" ) 0) (( "w" "a" "r" ) 0) (( "l" "aa" "l" ) 0) ))
old parser:नम्रता	(set! wordstruct '( (( "n" "a" "m" ) 0) (( "r" "a" ) 0) (( "t" "aa" ) 0) ))
new parser:नम्रता	(set! wordstruct '( (( "n" "a" "m" "r" ) 0) (( "t" "aa" ) 0) ))
old parser:नर्सरी	(set! wordstruct '( (( "n" "a" "r" ) 0) (( "s" "a" ) 0) (( "r" "ii" ) 0) ))
new parser:नर्सरी	(set! wordstruct '( (( "n" "a" "r" "s" ) 0) (( "r" "ii" ) 0) ))
old parser:निकलकर	(set! wordstruct '( (( "n" "i" ) 0) (( "k" "a" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:निकलकर	(set! wordstruct '( (( "n" "i" "k" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:निकालकर	(set! wordstruct '( (( "n" "i" ) 0) (( "k" "aa" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:निकालकर	(set! wordstruct '( (( "n" "i" ) 0) (( "k" "aa" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:नोचकर	(set! wordstruct '( (( "n" "o" "c" ) 0) (( "k" "a" "r" ) 0) ))
new parser:नोचकर	(set! wordstruct '( (( "n" "o" ) 0) (( "c" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:पत्रकार	(set! wordstruct '( (( "p" "a" "t" ) 0) (( "r" "a" ) 0) (( "k" "aa" "r" ) 0) ))
new parser:पत्रकार	(set! wordstruct '( (( "p" "a" "t" "r" ) 0) (( "k" "aa" "r" ) 0) ))
old parser:पत्रकारिता	(set! wordstruct '( (( "p" "a" "t" ) 0) (( "r" "a" ) 0) (( "k" "aa" ) 0) (( "r" "i" ) 0) (( "t" "aa" ) 0) ))
new parser:पत्रकारिता	(set! wordstruct '( (( "p" "a" "t" "r" ) 0) (( "k" "aa" ) 0) (( "r" "i" ) 0) (( "t" "aa" ) 0) ))
old parser:पत्रकारों	(set! wordstruct '( (( "p" "a" "t" ) 0) (( "r" "a" ) 0) (( "k" "aa" ) 0) (( "r" "o" "q" ) 0) ))
new parser:पत्रकारों	(set! wordstruct '( (( "p" "a" "t" "r" ) 0) (( "k" "aa" ) 0) (( "r" "o" "q" ) 0) ))
old parser:पत्रव्यवहार	(set! wordstruct '( (( "p" "a" "t" ) 0) (( "r" "a" "w" ) 0) (( "y" "a" ) 0) (( "w" "a" ) 0) (( "h" "aa" "r" ) 0) ))
new parser:पत्रव्यवहार	(set! wordstruct '( (( "p" "a" "t" "r" ) 0) (( "w" "y" "a" ) 0) (( "w" "a" ) 0) (( "h" "aa" "r" ) 0) ))
old parser:पद्मपत्र	(set! wordstruct '( (( "p" "a" "d" ) 0) (( "m" "a" ) 0) (( "p" "a" "t" "r" ) 0) ))
new parser:पद्मपत्र	(set! wordstruct '( (( "p" "a" "d" "m" ) 0) (( "p" "a" "t" "r" ) 0) ))
old parser:परवाह	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "aa" "h" ) 0) ))
new parser:परवाह	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "aa" ) 0) (( "h" "a" ) 0) ))
old parser:परवेज़	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "ee" "z" ) 0) ))
new parser:परवेज़	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "ee" ) 0) (( "z" "a" ) 0) ))
old parser:परिवर्तन	(set! wordstruct '( (( "p" "a" ) 0) (( "r" "i" ) 0) (( "w" "a" "r" ) 0) (( "t" "a" "n" ) 0) ))
new parser:परिवर्तन	(set! wordstruct '( (( "p" "a" ) 0) (( "r" "i" ) 0) (( "w" "a" "r" "t" ) 0) (( "n" "a" ) 0) ))
old parser:परिवहन	(set! wordstruct '( (( "p" "a" ) 0) (( "r" "i" "w" ) 0) (( "h" "a" "n" ) 0) ))
new parser:परिवहन	(set! wordstruct '( (( "p" "a" ) 0) (( "r" "i" ) 0) (( "w" "a" ) 0) (( "h" "a" "n" ) 0) ))
old parser:पर्यावरण	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "y" "aa" "w" ) 0) (( "r" "a" "nx" ) 0) ))
new parser:पर्यावरण	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "y" "aa" ) 0) (( "w" "a" ) 0) (( "r" "a" "nx" ) 0) ))
old parser:पर्वत	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "a" "t" ) 0) ))
new parser:पर्वत	(set! wordstruct '( (( "p" "a" "r" "w" ) 0) (( "t" "a" ) 0) ))
old parser:पर्वतनुमा	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "a" ) 0) (( "t" "a" ) 0) (( "n" "u" ) 0) (( "m" "aa" ) 0) ))
new parser:पर्वतनुमा	(set! wordstruct '( (( "p" "a" "r" "w" ) 0) (( "t" "a" ) 0) (( "n" "u" ) 0) (( "m" "aa" ) 0) ))
old parser:पर्वतसमस्त	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "a" ) 0) (( "t" "a" "s" ) 0) (( "m" "a" "s" "t" ) 0) ))
new parser:पर्वतसमस्त	(set! wordstruct '( (( "p" "a" "r" "w" ) 0) (( "t" "a" "s" ) 0) (( "m" "a" "s" "t" ) 0) ))
old parser:पर्वताग्र	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "a" ) 0) (( "t" "aa" "g" "r" ) 0) ))
new parser:पर्वताग्र	(set! wordstruct '( (( "p" "a" "r" "w" ) 0) (( "t" "aa" "g" "r" ) 0) ))
old parser:पर्वतों	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "w" "a" ) 0) (( "t" "o" "q" ) 0) ))
new parser:पर्वतों	(set! wordstruct '( (( "p" "a" "r" "w" ) 0) (( "t" "o" "q" ) 0) ))
old parser:पर्सनल	(set! wordstruct '( (( "p" "a" "r" ) 0) (( "s" "a" ) 0) (( "n" "a" "l" ) 0) ))
new parser:पर्सनल	(set! wordstruct '( (( "p" "a" "r" "s" ) 0) (( "n" "a" "l" ) 0) ))
old parser:पलायनवादी	(set! wordstruct '( (( "p" "a" ) 0) (( "l" "aa" "y" ) 0) (( "n" "a" ) 0) (( "w" "aa" ) 0) (( "d" "ii" ) 0) ))
new parser:पलायनवादी	(set! wordstruct '( (( "p" "a" ) 0) (( "l" "aa" ) 0) (( "y" "a" "n" ) 0) (( "w" "aa" ) 0) (( "d" "ii" ) 0) ))
old parser:पहुँचकर	(set! wordstruct '( (( "p" "a" ) 0) (( "h" "u" "mq" "c" ) 0) (( "k" "a" "r" ) 0) ))
new parser:पहुँचकर	(set! wordstruct '( (( "p" "a" ) 0) (( "h" "u" "mq" ) 0) (( "c" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:पाणिग्रहण	(set! wordstruct '( (( "p" "aa" ) 0) (( "nx" "i" "g" ) 0) (( "r" "a" ) 0) (( "h" "a" "nx" ) 0) ))
new parser:पाणिग्रहण	(set! wordstruct '( (( "p" "aa" ) 0) (( "nx" "i" ) 0) (( "g" "r" "a" "h" ) 0) (( "nx" "a" ) 0) ))
old parser:पुनर्वसु	(set! wordstruct '( (( "p" "u" ) 0) (( "n" "a" "r" ) 0) (( "w" "a" ) 0) (( "s" "u" ) 0) ))
new parser:पुनर्वसु	(set! wordstruct '( (( "p" "u" ) 0) (( "n" "a" "r" "w" ) 0) (( "s" "u" ) 0) ))
old parser:पॉवरफ़ुल	(set! wordstruct '( (( "p" "ax" "w" ) 0) (( "r" "a" ) 0) (( "f" "u" "l" ) 0) ))
new parser:पॉवरफ़ुल	(set! wordstruct '( (( "p" "ax" ) 0) (( "w" "a" "r" ) 0) (( "f" "u" "l" ) 0) ))
old parser:प्रत्यक्षदर्शियों	(set! wordstruct '( (( "p" "r" "a" "t" ) 0) (( "y" "a" "k" ) 0) (( "sx" "a" ) 0) (( "d" "a" "r" ) 0) (( "sh" "i" ) 0) (( "y" "o" "q" ) 0) ))
new parser:प्रत्यक्षदर्शियों	(set! wordstruct '( (( "p" "r" "a" "t" ) 0) (( "y" "a" "k" "sx" ) 0) (( "d" "a" "r" ) 0) (( "sh" "i" ) 0) (( "y" "o" "q" ) 0) ))
old parser:प्रदर्शन	(set! wordstruct '( (( "p" "r" "a" ) 0) (( "d" "a" "r" ) 0) (( "sh" "a" "n" ) 0) ))
new parser:प्रदर्शन	(set! wordstruct '( (( "p" "r" "a" ) 0) (( "d" "a" "r" "sh" ) 0) (( "n" "a" ) 0) ))
old parser:प्रदर्शनवादी	(set! wordstruct '( (( "p" "r" "a" ) 0) (( "d" "a" "r" ) 0) (( "sh" "a" ) 0) (( "n" "a" ) 0) (( "w" "aa" ) 0) (( "d" "ii" ) 0) ))
new parser:प्रदर्शनवादी	(set! wordstruct '( (( "p" "r" "a" ) 0) (( "d" "a" "r" "sh" ) 0) (( "n" "a" ) 0) (( "w" "aa" ) 0) (( "d" "ii" ) 0) ))
old parser:प्रदर्शनी	(set! wordstruct '( (( "p" "r" "a" ) 0) (( "d" "a" "r" ) 0) (( "sh" "a" ) 0) (( "n" "ii" ) 0) ))
new parser:प्रदर्शनी	(set! wordstruct '( (( "p" "r" "a" ) 0) (( "d" "a" "r" "sh" ) 0) (( "n" "ii" ) 0) ))
old parser:प्रदर्शनों	(set! wordstruct '( (( "p" "r" "a" ) 0) (( "d" "a" "r" ) 0) (( "sh" "a" ) 0) (( "n" "o" "q" ) 0) ))
new parser:प्रदर्शनों	(set! wordstruct '( (( "p" "r" "a" ) 0) (( "d" "a" "r" "sh" ) 0) (( "n" "o" "q" ) 0) ))
old parser:प्रश्नवाचक	(set! wordstruct '( (( "p" "r" "a" "sh" ) 0) (( "n" "a" ) 0) (( "w" "aa" ) 0) (( "c" "a" "k" ) 0) ))
new parser:प्रश्नवाचक	(set! wordstruct '( (( "p" "r" "a" "sh" "n" ) 0) (( "w" "aa" ) 0) (( "c" "a" "k" ) 0) ))
old parser:फँसकर	(set! wordstruct '( (( "ph" "a" "mq" "s" ) 0) (( "k" "a" "r" ) 0) ))
new parser:फँसकर	(set! wordstruct '( (( "ph" "a" "mq" ) 0) (( "s" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:फेरबदल	(set! wordstruct '( (( "ph" "ee" ) 0) (( "r" "a" "b" ) 0) (( "d" "a" "l" ) 0) ))
new parser:फेरबदल	(set! wordstruct '( (( "ph" "ee" "r" ) 0) (( "b" "a" ) 0) (( "d" "a" "l" ) 0) ))
old parser:बकरीद	(set! wordstruct '( (( "b" "a" "k" ) 0) (( "r" "ii" "d" ) 0) ))
new parser:बकरीद	(set! wordstruct '( (( "b" "a" "k" ) 0) (( "r" "ii" ) 0) (( "d" "a" ) 0) ))
old parser:बख़्शते	(set! wordstruct '( (( "b" "a" "khq" ) 0) (( "sh" "a" ) 0) (( "t" "ee" ) 0) ))
new parser:बख़्शते	(set! wordstruct '( (( "b" "a" "khq" "sh" ) 0) (( "t" "ee" ) 0) ))
old parser:बदलवाये	(set! wordstruct '( (( "b" "a" "d" ) 0) (( "l" "a" ) 0) (( "w" "aa" ) 0) (( "y" "ee" ) 0) ))
new parser:बदलवाये	(set! wordstruct '( (( "b" "a" ) 0) (( "d" "a" "l" ) 0) (( "w" "aa" ) 0) (( "y" "ee" ) 0) ))
old parser:बदलाव	(set! wordstruct '( (( "b" "a" "d" ) 0) (( "l" "aa" "w" ) 0) ))
new parser:बदलाव	(set! wordstruct '( (( "b" "a" "d" ) 0) (( "l" "aa" ) 0) (( "w" "a" ) 0) ))
old parser:बनारस	(set! wordstruct '( (( "b" "a" ) 0) (( "n" "aa" ) 0) (( "r" "a" "s" ) 0) ))
new parser:बनारस	(set! wordstruct '( (( "b" "a" ) 0) (( "n" "aa" "r" ) 0) (( "s" "a" ) 0) ))
old parser:बमवर्षक	(set! wordstruct '( (( "b" "a" "m" ) 0) (( "w" "a" "r" ) 0) (( "sx" "a" "k" ) 0) ))
new parser:बमवर्षक	(set! wordstruct '( (( "b" "a" "m" ) 0) (( "w" "a" "r" "sx" ) 0) (( "k" "a" ) 0) ))
old parser:बरसात	(set! wordstruct '( (( "b" "a" "r" ) 0) (( "s" "aa" "t" ) 0) ))
new parser:बरसात	(set! wordstruct '( (( "b" "a" "r" ) 0) (( "s" "aa" ) 0) (( "t" "a" ) 0) ))
old parser:बस्तर	(set! wordstruct '( (( "b" "a" "s" ) 0) (( "t" "a" "r" ) 0) ))
new parser:बस्तर	(set! wordstruct '( (( "b" "a" ) 0) (( "s" "t" "a" "r" ) 0) ))
old parser:बहरहाल	(set! wordstruct '( (( "b" "a" "h" ) 0) (( "r" "a" ) 0) (( "h" "aa" "l" ) 0) ))
new parser:बहरहाल	(set! wordstruct '( (( "b" "a" ) 0) (( "h" "a" "r" ) 0) (( "h" "aa" "l" ) 0) ))
old parser:बाचकर	(set! wordstruct '( (( "b" "aa" "c" ) 0) (( "k" "a" "r" ) 0) ))
new parser:बाचकर	(set! wordstruct '( (( "b" "aa" ) 0) (( "c" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:बारहमासी	(set! wordstruct '( (( "b" "aa" "r" ) 0) (( "h" "a" ) 0) (( "m" "aa" ) 0) (( "s" "ii" ) 0) ))
new parser:बारहमासी	(set! wordstruct '( (( "b" "aa" ) 0) (( "r" "a" "h" ) 0) (( "m" "aa" ) 0) (( "s" "ii" ) 0) ))
old parser:बारहवीं	(set! wordstruct '( (( "b" "aa" "r" ) 0) (( "h" "a" ) 0) (( "w" "ii" "q" ) 0) ))
new parser:बारहवीं	(set! wordstruct '( (( "b" "aa" ) 0) (( "r" "a" "h" ) 0) (( "w" "ii" "q" ) 0) ))
old parser:बारहवें	(set! wordstruct '( (( "b" "aa" "r" ) 0) (( "h" "a" ) 0) (( "w" "ee" "q" ) 0) ))
new parser:बारहवें	(set! wordstruct '( (( "b" "aa" ) 0) (( "r" "a" "h" ) 0) (( "w" "ee" "q" ) 0) ))
old parser:बिस्तर	(set! wordstruct '( (( "b" "i" "s" ) 0) (( "t" "a" "r" ) 0) ))
new parser:बिस्तर	(set! wordstruct '( (( "b" "i" ) 0) (( "s" "t" "a" "r" ) 0) ))
old parser:बेचकर	(set! wordstruct '( (( "b" "ee" "c" ) 0) (( "k" "a" "r" ) 0) ))
new parser:बेचकर	(set! wordstruct '( (( "b" "ee" ) 0) (( "c" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:बेदखल	(set! wordstruct '( (( "b" "ee" "d" ) 0) (( "kh" "a" "l" ) 0) ))
new parser:बेदखल	(set! wordstruct '( (( "b" "ee" ) 0) (( "d" "a" ) 0) (( "kh" "a" "l" ) 0) ))
old parser:बेपनाह	(set! wordstruct '( (( "b" "ee" "p" ) 0) (( "n" "aa" "h" ) 0) ))
new parser:बेपनाह	(set! wordstruct '( (( "b" "ee" ) 0) (( "p" "a" ) 0) (( "n" "aa" "h" ) 0) ))
old parser:बेवजह	(set! wordstruct '( (( "b" "ee" "w" ) 0) (( "j" "a" "h" ) 0) ))
new parser:बेवजह	(set! wordstruct '( (( "b" "ee" ) 0) (( "w" "a" ) 0) (( "j" "a" "h" ) 0) ))
old parser:बेशरम	(set! wordstruct '( (( "b" "ee" "sh" ) 0) (( "r" "a" "m" ) 0) ))
new parser:बेशरम	(set! wordstruct '( (( "b" "ee" ) 0) (( "sh" "a" ) 0) (( "r" "a" "m" ) 0) ))
old parser:बोलकर	(set! wordstruct '( (( "b" "o" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:बोलकर	(set! wordstruct '( (( "b" "o" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:ब्लाइटन	(set! wordstruct '( (( "b" "l" "aa" ) 0) (( "i" ) 0) (( "tx" "a" "n" ) 0) ))
new parser:ब्लाइटन	(set! wordstruct '( (( "b" "a" ) 0) (( "l" "aa" ) 0) (( "i" "tx" ) 0) (( "n" "a" ) 0) ))
old parser:भंवरजाल	(set! wordstruct '( (( "bh" "a" "q" ) 0) (( "w" "a" ) 0) (( "r" "a" ) 0) (( "j" "aa" "l" ) 0) ))
new parser:भंवरजाल	(set! wordstruct '( (( "bh" "a" "q" ) 0) (( "w" "a" "r" ) 0) (( "j" "aa" "l" ) 0) ))
old parser:भृंगीश्वर	(set! wordstruct '( (( "bh" "rq" "q" ) 0) (( "g" "ii" "sh" ) 0) (( "w" "a" "r" ) 0) ))
new parser:भृंगीश्वर	(set! wordstruct '( (( "bh" "rq" "q" ) 0) (( "g" "ii" ) 0) (( "sh" "w" "a" "r" ) 0) ))
old parser:मंगेशकर	(set! wordstruct '( (( "m" "a" "q" ) 0) (( "g" "ee" "sh" ) 0) (( "k" "a" "r" ) 0) ))
new parser:मंगेशकर	(set! wordstruct '( (( "m" "a" "q" ) 0) (( "g" "ee" ) 0) (( "sh" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:मनस्य	(set! wordstruct '( (( "m" "a" ) 0) (( "n" "a" "s" "y" ) 0) ))
new parser:मनस्य	(set! wordstruct '( (( "m" "a" ) 0) (( "n" "a" "s" ) 0) (( "y" "a" ) 0) ))
old parser:मरहम	(set! wordstruct '( (( "m" "a" "r" ) 0) (( "h" "a" "m" ) 0) ))
new parser:मरहम	(set! wordstruct '( (( "m" "a" ) 0) (( "r" "a" ) 0) (( "h" "a" "m" ) 0) ))
old parser:मसलन	(set! wordstruct '( (( "m" "a" "s" ) 0) (( "l" "a" "n" ) 0) ))
new parser:मसलन	(set! wordstruct '( (( "m" "a" ) 0) (( "s" "a" "l" ) 0) (( "n" "a" ) 0) ))
old parser:महासचिव	(set! wordstruct '( (( "m" "a" ) 0) (( "h" "aa" "s" ) 0) (( "c" "i" "w" ) 0) ))
new parser:महासचिव	(set! wordstruct '( (( "m" "a" ) 0) (( "h" "aa" ) 0) (( "s" "a" ) 0) (( "c" "i" "w" ) 0) ))
old parser:मिलकर	(set! wordstruct '( (( "m" "i" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:मिलकर	(set! wordstruct '( (( "m" "i" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:मिलजुलकर	(set! wordstruct '( (( "m" "i" "l" ) 0) (( "j" "u" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:मिलजुलकर	(set! wordstruct '( (( "m" "i" "l" ) 0) (( "j" "u" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:मुसलमान	(set! wordstruct '( (( "m" "u" "s" ) 0) (( "l" "a" ) 0) (( "m" "aa" "n" ) 0) ))
new parser:मुसलमान	(set! wordstruct '( (( "m" "u" ) 0) (( "s" "a" "l" ) 0) (( "m" "aa" ) 0) (( "n" "a" ) 0) ))
old parser:मुसलमानों	(set! wordstruct '( (( "m" "u" "s" ) 0) (( "l" "a" ) 0) (( "m" "aa" ) 0) (( "n" "o" "q" ) 0) ))
new parser:मुसलमानों	(set! wordstruct '( (( "m" "u" ) 0) (( "s" "a" "l" ) 0) (( "m" "aa" ) 0) (( "n" "o" "q" ) 0) ))
old parser:युवराज	(set! wordstruct '( (( "y" "u" "w" ) 0) (( "r" "aa" "j" ) 0) ))
new parser:युवराज	(set! wordstruct '( (( "y" "u" ) 0) (( "w" "a" ) 0) (( "r" "aa" "j" ) 0) ))
old parser:रचनात्मक	(set! wordstruct '( (( "r" "a" "c" ) 0) (( "n" "aa" "t" ) 0) (( "m" "a" "k" ) 0) ))
new parser:रचनात्मक	(set! wordstruct '( (( "r" "a" "c" ) 0) (( "n" "aa" ) 0) (( "t" "m" "a" "k" ) 0) ))
old parser:राइटर	(set! wordstruct '( (( "r" "aa" ) 0) (( "i" ) 0) (( "tx" "a" "r" ) 0) ))
